n_particles,dimensions,alpha,time_step,sampler,mean_energy,energy_per_particle,standard_error_naive,variance,acceptance_rate,elapsed_time,exact_ground_energy,energy_error_vs_exact
100,1,0.45,0.001,importance,50.22988360116995,0.5022988360116996,0.0064351163411379775,0.8282144464796205,0.9999918181818181,61.73903242000961,50.0,0.2298836011699521
100,1,0.45,0.005,importance,50.31792863725854,0.5031792863725854,0.005497402729335845,0.604428735370184,0.999935,62.6012870669947,50.0,0.3179286372585395
100,1,0.45,0.01,importance,50.286514908279656,0.5028651490827966,0.004985800461517171,0.49716412484129685,0.9997986363636364,64.14664945100958,50.0,0.2865149082796563
100,1,0.45,0.05,importance,50.284721653929175,0.5028472165392918,0.005117862893700289,0.5238504119742861,0.9978495454545454,59.69204190099845,50.0,0.28472165392917503
100,1,0.45,0.1,importance,50.33457333644163,0.5033457333644162,0.005368303059331707,0.5763735547366033,0.9939454545454546,59.60966174099303,50.0,0.334573336441629
100,1,0.45,0.2,importance,50.26650987112118,0.5026650987112118,0.005323617384933491,0.566818041223322,0.9829454545454546,59.60099626600277,50.0,0.26650987112117974
100,2,0.45,0.001,importance,100.8038135783731,1.008038135783731,0.005841251009070527,0.6824042670193492,0.9999922727272728,64.26402019801026,100.0,0.8038135783730951
100,2,0.45,0.005,importance,100.57432058698582,1.005743205869858,0.007444960145672039,1.1085486314129007,0.9999036363636363,65.20433161199617,100.0,0.5743205869858201
100,2,0.45,0.01,importance,100.70398262645777,1.0070398262645777,0.007609096085728361,1.1579668648369332,0.999675,64.18086972599849,100.0,0.7039826264577727
100,2,0.45,0.05,importance,100.57815634650781,1.0057815634650782,0.007361484381941477,1.0838290461113658,0.996575,65.39468802600459,100.0,0.5781563465078108
100,2,0.45,0.1,importance,100.5118430317806,1.005118430317806,0.007349211998206572,1.0802183398916687,0.9904754545454545,69.09619737800676,100.0,0.5118430317806002
100,2,0.45,0.2,importance,100.58335646308842,1.0058335646308842,0.007553765318831732,1.141187409839701,0.9729190909090909,66.58223065300263,100.0,0.5833564630884212
100,3,0.45,0.001,importance,151.013805413,1.51013805413,0.008534779286370026,1.4568491493410172,0.9999881818181818,75.71271652799624,150.0,1.013805413
100,3,0.45,0.005,importance,151.23800905427416,1.5123800905427416,0.010192156342820415,2.0776010183298887,0.999874090909091,75.69149112599553,150.0,1.2380090542741584
100,3,0.45,0.01,importance,150.91181678121495,1.5091181678121495,0.009078004534006033,1.648203326388682,0.9996154545454545,76.32742725699791,150.0,0.9118167812149522
100,3,0.45,0.05,importance,150.81149528904453,1.5081149528904454,0.009230567962828192,1.7040676983278047,0.995654090909091,76.7701645000052,150.0,0.8114952890445295
100,3,0.45,0.1,importance,150.79062182235847,1.5079062182235847,0.009116332017215277,1.662150188962088,0.9878677272727273,77.6722939159954,150.0,0.7906218223584744
100,3,0.45,0.2,importance,150.83165602207634,1.5083165602207635,0.009060098062028685,1.6417075378715191,0.9655990909090909,77.40602820299682,150.0,0.8316560220763449
