iteration,alpha,energy,gradient,learning_rate,acceptance_rate
0,0.7,158.4703918970116,71.59077028641332,0.001,0.9916421212121213
1,0.6284092297135866,153.8666918449304,53.74733182941418,0.001,0.9928930303030303
2,0.5746618978841724,151.41105392388218,35.51478090121236,0.001,0.99379
3,0.53914711698296,150.4020625702862,20.475100768562697,0.001,0.994350303030303
4,0.5186720162143973,150.08889570712083,10.351801064280153,0.001,0.9946715151515152
5,0.5083202151501172,150.01497248482633,4.747550165557186,0.001,0.994829393939394
6,0.50357266498456,150.00144669484388,2.0657606488239253,0.001,0.9948972727272727
7,0.5015069043357361,149.9997011945691,0.8763491336721927,0.001,0.9949257575757576
8,0.5006305552020639,149.99970660884233,0.36754101340920897,0.001,0.994940909090909
9,0.5002630141886547,149.9998490830763,0.15344367745274212,0.001,0.9949463636363637
10,0.500109570511202,149.99993214010388,0.0639560665076715,0.001,0.9949472727272727
11,0.5000456144446943,149.9999708750008,0.026629320505890064,0.001,0.9949487878787879
12,0.5000189851241884,149.9999877456239,0.011084306621341966,0.001,0.9949490909090909
13,0.5000079008175671,149.99999487582892,0.004612972523318604,0.001,0.9949490909090909
14,0.5000032878450438,149.99999786218987,0.0019196655703126453,0.001,0.994949393939394
15,0.5000013681794735,149.99999910965542,0.0007988397774170153,0.001,0.994949393939394
16,0.500000569339696,149.99999962937466,0.0003324214703752659,0.001,0.994949393939394
17,0.5000002369182257,149.99999984575044,0.00013833003322361037,0.001,0.994949393939394
18,0.5000000985881925,149.9999999358087,5.7562960137147456e-05,0.001,0.994949393939394
19,0.5000000410252323,149.9999999732876,2.395351475570351e-05,0.001,0.994949393939394
