block_size,n_blocks,mean,variance,standard_error
1.0,50000,150.85946878619902,1.7083344805085892,0.005845227934834688
2.0,25000,150.85946878619905,1.632908796983342,0.008081853245347485
4.0,12500,150.85946878619902,1.5294459301724774,0.01106144992366725
8.0,6250,150.85946878619902,1.3615894945901852,0.014759888859148959
16.0,3125,150.85946878619902,1.1087829587606708,0.018836415444649087
32.0,1562,150.85913765232226,0.7971955771035609,0.022591336553249852
64.0,781,150.8591376523223,0.491813145458125,0.025094269013747877
128.0,390,150.85873443642373,0.2947427922679462,0.027490921217830998
256.0,195,150.85873443642373,0.1595493445387277,0.02860422638117085
512.0,97,150.85803316777884,0.08723791737215926,0.029989330984682847
1024.0,48,150.86033922475644,0.04661326162425599,0.031162631743355693
2048.0,24,150.86033922475644,0.03256496340982804,0.036835763537756375
4096.0,12,150.86033922475644,0.01942084114276567,0.04022938513777965
8192.0,6,150.86033922475644,0.01788903374334249,0.05460316496221089
12500.0,4,150.85946878619905,0.00741264872569761,0.043048370252826096
