n_particles,dimensions,alpha,beta,gamma,hard_core_radius,mean_energy,energy_per_particle,standard_error_naive,variance,acceptance_rate,elapsed_time,ideal_noninteracting_energy,difference_from_ideal
10,3,0.35,2.82843,2.82843,0.0043,25.867751306964575,2.5867751306964575,0.015113874912095069,6.8528764457537,0.9975030303030303,62.330168701999355,24.14215,1.725601306964574
10,3,0.39999999999999997,2.82843,2.82843,0.0043,24.88375126683117,2.488375126683117,0.008969505463957203,2.4135608480387436,0.9970181818181818,61.285916381995776,24.14215,0.741601266831168
10,3,0.45,2.82843,2.82843,0.0043,24.509574563655494,2.4509574563655496,0.004307430789291945,0.556618800136207,0.9965969696969696,61.0786973300128,24.14215,0.3674245636554936
10,3,0.5,2.82843,2.82843,0.0043,24.395896649382667,2.439589664938267,0.00030522101249018125,0.0027947959939659413,0.9961545454545454,61.0283120739914,24.14215,0.25374664938266633
10,3,0.55,2.82843,2.82843,0.0043,24.529231794956587,2.4529231794956585,0.004004251496109672,0.4810209013228964,0.9953060606060606,61.06945418500982,24.14215,0.3870817949565861
10,3,0.6000000000000001,2.82843,2.82843,0.0043,24.816507563669536,2.4816507563669536,0.007652668056048884,1.75689985128213,0.9948030303030303,61.12453822699899,24.14215,0.6743575636695347
10,3,0.65,2.82843,2.82843,0.0043,25.26737627042956,2.526737627042956,0.010963901911196079,3.6062143535498703,0.9941909090909091,61.141405727001256,24.14215,1.1252262704295575
50,3,0.35,2.82843,2.82843,0.0043,134.36073487180843,2.687214697436169,0.03211348588743849,30.93827927528132,0.9958866666666667,423.58597546300734,120.71075,13.649984871808428
50,3,0.39999999999999997,2.82843,2.82843,0.0043,129.90509653677276,2.598101930735455,0.020647310990878204,12.789343534621196,0.9950212121212121,422.7552575120062,120.71075,9.194346536772755
50,3,0.45,2.82843,2.82843,0.0043,127.70556248575018,2.5541112497150036,0.009152243465096122,2.5129068133318397,0.9941987878787879,423.702485072994,120.71075,6.994812485750174
50,3,0.5,2.82843,2.82843,0.0043,127.28707536933281,2.5457415073866563,0.0026108787191479977,0.20450063058299672,0.9932945454545454,423.9654590579885,120.71075,6.576325369332807
50,3,0.55,2.82843,2.82843,0.0043,128.13387335259054,2.562677467051811,0.010506799148281851,3.3117848502700866,0.9921830303030303,425.7872939390072,120.71075,7.423123352590537
50,3,0.6000000000000001,2.82843,2.82843,0.0043,129.8812902541957,2.597625805083914,0.018634530946727297,10.41737230813612,0.991550303030303,424.39110953500494,120.71075,9.1705402541957
50,3,0.65,2.82843,2.82843,0.0043,132.5737843166591,2.651475686333182,0.026281351133120377,20.721282521471032,0.9905551515151515,424.32082845599507,120.71075,11.863034316659096
100,3,0.35,2.82843,2.82843,0.0043,280.0401551841536,2.800401551841536,0.046954024959706804,66.14041379750307,0.9940127272727273,1493.5757172200101,241.4215,38.618655184153596
100,3,0.39999999999999997,2.82843,2.82843,0.0043,270.799910018063,2.7079991001806296,0.029653825050751384,26.380480204217104,0.9922218181818182,1500.7080153810093,241.4215,29.378410018062965
100,3,0.45,2.82843,2.82843,0.0043,266.8019962495429,2.6680199624954293,0.013431182450996122,5.411899860958385,0.9918945454545455,1498.575199465995,241.4215,25.380496249542915
100,3,0.5,2.82843,2.82843,0.0043,266.3318169538692,2.663318169538692,0.006875736234356493,1.4182724629332837,0.9905663636363636,1497.2314187330048,241.4215,24.91031695386917
100,3,0.55,2.82843,2.82843,0.0043,268.46268691951525,2.6846268691951525,0.016346962076395227,8.01669507381311,0.9894821212121212,1501.3988299600023,241.4215,27.04118691951524
100,3,0.6000000000000001,2.82843,2.82843,0.0043,272.3886788955406,2.7238867889554057,0.027070026717796535,21.983590395066543,0.9883372727272727,1496.9796887989942,241.4215,30.96717889554057
100,3,0.65,2.82843,2.82843,0.0043,278.2402466082247,2.7824024660822473,0.03888116905187238,45.35235920520835,0.987089696969697,2215.1540592439997,241.4215,36.8187466082247
